"Full name of the territorial agency","Abbreviated name of the territorial agency","Surname, First name, Patronymic","Post","Description of the functions of territorial agency","Postal address","Working hours","OKTMO","OKATO","OKPO","OGRN","TIN","Telephone number of the inquiries","Telephone number (others)","Fax","URL","E-mail"
" Управление Федеральной службы судебных приставов по Самарской области","УФССП России по Самарской области","Муратов Закир Рамильевич","Руководитель УФССП России по Самарской области – главный судебный пристав по Самарской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","443126, г. Самара, ул. Урицкого, д. 17","Понедельник - четверг с 9:00 до 18:00, пятница с 9:00 до 16:45","36701000","36401000000","75166190","1046300599542","6316096934",88462636565,88462663842,88462663842,"https://r63.fssp.gov.ru","mail@r63.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Саратовской области","УФССП России по Саратовской области","Решетняк Илья Николаевич","Руководитель УФССП России по Саратовской области - главный судебный пристав Саратовской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","410000, г. Саратов, Театральная площадь, д.11","Понедельник - четверг с 09:00 до 18:00, пятница с 09:00 до 16:45","63000000","63 401 000 ","72564926","1056405504650","6455039443",88452277221,88452734175,88452274085,"https://r64.fssp.gov.ru","mail@r64.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Сахалинской области","УФССП России по Сахалинской области","Кононов Андрей Анатольевич","Руководитель Управления Федеральной службы судебных приставов по Сахалинской области - главный судебный пристав Сахалинской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","693000, г. Южно-Сахалинск, ул. Ленина, д. 45","Понедельник - четверг с 9.00 до 17.30, пятница с 9.00 до 15.30, перерыв с 13.00 до 14.00","64701000","64401000000","73986256","1046500652054","6501154651",84242722502,84242722930,84242722926,"https://r65.fssp.gov.ru","mail@r65.fssp.gov.ru"
"Главное управление Федеральной службы судебных приставов по Свердловской области","ГУФССП России по Свердловской области","Сухорукова Альбина Халилевна","Руководитель ГУФССП России по Свердловской области - главный судебный пристав Свердловской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","620075, г. Екатеринбург, ул. Пролетарская, д. 7","Понедельник - четверг с 09:00 до 18:00, пятница с 09:00 до 17:00","65000000","65401373000","56991576","1046603570562","6670073012",83433622783,,83433622784,"https://r66.fssp.gov.ru","mail@r66.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Смоленской области","УФССП России по Смоленской области","Эммануилиди Анжела Валентиновна","Руководитель УФССП России по Смоленской области-главный судебный пристав Смоленской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","214029, г. Смоленск, Смоленский р-н, ш. Краснинское, д. 35","Понедельник - четверг с 9.00 до 18.00, пятница с 9.00 до 16.45, перерыв с 13.00 до 13.45","66000000","66401368000","75412157","1046758341321","6731048270",84812307499,,84812307455,"https://r67.fssp.gov.ru","mail@r67.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Тамбовской области","УФССП России по Тамбовской области","Лузан Андрей Михайлович","Врио руководителя Управления - главного судебного пристава Тамбовской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","392000, г. Тамбов, ул. Рахманинова, д. 1А","Понедельник - четверг с 08.30 до 17.30, пятница с 8:30 до 16:15","68000000","68401364000","71254997","1046882321936","6829010040",84752797309,84752562992,84752797363,"https://r68.fssp.gov.ru","mail@r68.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Тверской области","УФССП России по Тверской области","Семенова Надежда Геннадьевна","Руководитель УФССП России по Тверской области - главный судебный пристав Тверской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","170003, г. Тверь, ул. Веселова, д. 4, д. 6","Понедельник - четверг с 09.00 до 18.00, пятница с 09.00 до 17.00","28000000","28401365000","75720692","1046900099817","6901067146",84822703355,84822559397,84822559220,"https://r69.fssp.gov.ru","mail@r69.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Томской области","УФССП России по Томской области","Надиров Бениамин Эдмундович","Руководитель Управления - главный судебный пристав","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","634006, г. Томск, ул. Пушкина, д. 65","Понедельник - четверг с 8:45 до 18:00, перерыв с 13:00 до 14:00. Пятница с 8:45 до 16:15, перерыв 13:00-13:30","69701000","69401000000","73742471","1047000304801","7017107820",83822615001,83822615134,83822652524,"https://r70.fssp.gov.ru","mail@r70.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Тульской области","УФССП России по Тульской области","Кононов Эдуард Николаевич","Руководитель Управления Федеральной службы судебных приставов по Тульской области – главный судебный пристав Тульской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","300028, г. Тула, ул. 9 Мая, д. 1","Понедельник - четверг с 9:00 до 18.00, пятница с 9:00 до 16:45, перерыв с 13.00 до 13:45","70701000","70401000000","75201851","1047100103665","7101006403",84872355645,84872269274,84872657725,"https://r71.fssp.gov.ru","mail@r71.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Тюменской области","УФССП России по Тюменской области","Хайдаров Кабдула Мурзахметович","Руководитель Управления Федеральной службы судебных приставов по Тюменской области - главный судебный пристав Тюменской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","625013, г. Тюмень, ул. Пермякова, д. 5","Понедельник - четверг с 8:45 до 18:00, пятница с 9:00 до 17:00, перерыв с 13:00 до 14:00","71701000","71401000000","74747915","1047200671100","7203155161",83452495346,83452495353,"83452495346/83452495345","https://r72.fssp.gov.ru","mail@r72.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Ульяновской области","УФССП России по Ульяновской области","Тагаев Андрей Александрович","Руководитель Управления Федеральной службы судебных приставов по Ульяновской области - главный судебный пристав Ульяновской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","432061, г. Ульяновск, ул. Азовская, д. 95","Понедельник - пятница с 8:00 до 17:00, перерыв с 13.00 до 14:00","73701000","73401000000","25482721","1047301035540","7327033261",88422402324,88422399344,88422402310,"https://r73.fssp.gov.ru","mail@r73.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Челябинской области","УФССП России по Челябинской области","Третьякова Юлия Игоревна","Руководитель УФССП России по Челябинской области — главный судебный пристав Челябинской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","454078, г. Челябинск, ул. Барбюса, д.136В","Понедельник - четверг с 9.00 до 18.00, пятница с 09.00 до 16.45 ","75701000","75401000000","74218921","1047424555892","7448065758",83512525301,83512525300,83512525301,"https://r74.fssp.gov.ru","mail@r74.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Забайкальскому краю","УФССП России по Забайкальскому краю","Дамдинжапов Баясхалан Владимирович","Руководитель УФССП России по Забайкальскому краю - главный судебный пристав Забайкальского края","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","672000, Забайкальский край, г. Чита, ул. Бабушкина, д.127","Понедельник - четверг с 8.45 до 18.00, перерыв с 13.00 до 14.00, пятница с 8.45 до 16.45","76701000","76401000000","74422136","1087536002916","7536090062",83022325948,83022320740,83022325948,"https://r75.fssp.gov.ru","mail@r75.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Ярославской области","УФССП России по Ярославской области","Абрамов Андрей Владимировичч","Руководитель Управления - главный судебный пристав","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","150040. г. Ярославль, пр-кт Октября, д. 17г","Понедельник - четверг с 9:00 до 18:00, пятница с 09:00 до 16:45, перерыв с 13:00 до 13:45","78701000","78401000000","00013474","1047600432230","7604071938",84852321778,84852725821,84852321778,"https://r76.fssp.gov.ru","mail@r76.fssp.gov.ru"
"Главное управление Федеральной службы судебных приставов по г. Москве","ГУФССП России по г. Москве","Замородских Сергей Григорьевич","Руководитель ГУФССП России по Москве - главный судебный пристав Москвы","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","125047, г. Москва, ул. Бутырский вал, д. 5","Понедельник - четверг с 09.00 до 18.00, пятница с 09.00 до 17.00, перерыв с 13.00 до 13.45","45382000",,,,"7704270863",,,84959816754,"https://r77.fssp.gov.ru","mail@r77.fssp.gov.ru"
"Главное управление Федеральной службы судебных приставов по г. Санкт-Петербургу","ГУФССП России по г. Санкт-Петербургу","Лашкова Анна Евгеньевна","Руководитель ГУФССП России по Санкт-Петербургу - главный судебный пристав Санкт-Петербурга","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","190000, г. Санкт-Петербург, ул. Большая Морская, д. 59","Понедельник - среда с 9:00 до 18:00, четверг с 9:00 до 20:00, пятница с 9:00 до 16:45","40303000","40262563000","74849001","1047833068942","7838027691",88123124525,,88123123848,"https://r78.fssp.gov.ru","mail@r78.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Республике Крым","УФССП России по Республике Крым","Рудаков Игорь Анатольевич","Руководитель УФССП России по Республике Крым – главный судебный пристав Республике Крым","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","295034, Республика Крым, г. Симферополь, ул. Киевская, д. 81","Понедельник - четверг с 9.00 до 18.00, пятница с 9.00 до 16.45, перерыв с 13.00 до 13.45","35701000","35000000000",,,"7702835613",83652248971,,83652248971,"https://r79.fssp.gov.ru","mail@r79.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Ханты-Мансийскому автономному округу - Югре","УФССП России по Ханты-Мансийскому АО - Югре","Ловандо Елена Евгеньевна","Руководитель Управления ФССП России по Ханты-Мансийскому автономному округу - Югре - главный судебный пристав Ханты-Мансийского автономного округа - Югры","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","628012, г. Ханты-Мансийск, ул. Чехова, д. 8","Понедельник - пятница с 8-30 до 18-15, перерыв с 12-30 до 14-00","71871000","71131000000","74751041","1048600010095","8601024346",83467352010,83467352002,83467352010,"https://r83.fssp.gov.ru","mail@r82.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Ямало-Ненецкому автономному округу","УФССП России по Ямало-Ненецкому автономному округу","Смирнов Евгений Александрович","Руководитель УФССП России по Ямало-Ненецкому автономному округу - главный судебный пристав Ямало-Ненецкого автономного округа","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","629007, г. Салехард, ул. Свердлова, д. 43А","Понедельник - пятница с 8:30 до 18:00, перерыв с 12:30 до 14:00","71951000","71171000000","74736366","1048900006022","8901016096",83492238790,83492230439,83492238791,"https://r86.fssp.gov.ru","mail@r87.fssp.gov.ru"
